app,apktool_d,dex2jar,zip,bcel,dx,apktool_a,jarsigner
com.sleepwalkers.notebooks,1.09,3.89,0.80,1.55,12.59,2.21,1.27
com.slidejoy,1.22,7.80,4.26,6.77,21.58,2.98,1.77
com.smarteragent.android.c21,0.87,6.53,3.23,2.90,17.20,2.21,1.20
com.smarteragent.android.kw,0.97,6.54,3.24,3.09,15.51,2.15,1.29
com.sneakerwatch.app,0.91,3.47,1.33,4.52,7.21,1.38,0.84
com.sonic.sonicdrivein,1.34,10.04,5.79,12.01,24.61,3.54,1.96
com.sotg.surveys,1.01,7.71,2.02,5.72,12.08,2.71,1.64
com.spacedock.lookbook,1.18,12.96,6.65,6.81,49.63,3.56,2.15
com.sparkpeople.android.cookbook,0.89,8.09,3.69,3.30,23.05,2.47,1.52
com.speaktoit.assistant,1.46,8.18,4.07,6.23,22.16,3.14,1.79
com.splashpadmobile.tattoos2,1.20,9.43,4.66,6.52,44.14,3.09,1.80
com.splickit.jerseymikes,0.93,5.87,1.94,3.65,15.24,1.88,1.23
com.splickit.moes,0.88,5.94,1.96,4.66,15.38,1.89,1.22
com.spoton.mobile.android,0.87,6.51,2.83,4.81,18.46,2.10,1.26
com.stickybitsoftware.marleylillymonograms,1.31,5.92,1.94,6.70,15.62,6.75,4.29
com.stopandshop.mobile.droid,0.52,2.21,0.31,0.63,4.32,0.78,0.46
com.strek.whistle.cat,0.45,1.05,0.08,0.42,3.17,0.70,0.41
com.studiod.eyemakupstepbystep,0.73,6.90,2.50,1.80,17.68,1.81,1.16
com.studiod.lovequotesandsayings,0.60,6.85,2.45,1.84,17.98,1.73,1.12
com.styleseat.promobile,0.91,3.19,0.93,3.15,7.69,1.95,1.25
com.subway.mobile.subwayapp03,1.31,8.04,3.05,13.01,22.56,3.28,1.91
com.supercuts.app,1.00,6.43,1.79,2.09,17.82,2.19,1.36
com.superfish.decormatch,0.70,3.87,1.45,6.61,9.01,1.69,1.04
com.superpages.android,1.45,10.16,4.20,7.61,28.97,4.10,2.11
com.surveysampling.mobile.quickthoughts,1.87,9.96,3.95,6.36,27.10,3.64,2.25
com.swipedating.app,0.67,2.76,0.51,0.57,6.35,1.21,0.72
com.tacobell.ordering,2.07,11.04,5.15,7.75,35.04,5.80,2.97
com.target.socsav,1.24,10.06,3.18,6.03,24.54,3.06,1.93
com.target.wishlist,2.43,11.86,4.99,15.98,52.19,16.31,10.99
com.tashirono.pbs,0.90,4.88,1.09,3.08,13.95,1.69,1.10
com.thechildrensplace.mobile,0.90,6.65,1.18,3.99,12.13,1.76,1.04
com.thorntons.refreshingrewards,0.78,6.68,2.16,1.62,19.51,2.14,1.23
